District :,Dindori,,Madhya,Pradesh,,,,,,,,,
,,ST,,SC,,OBC,,GENERAL,,TOTAL,,BPL Category,
Class,Year,boys,girls,boys ,girls,boys,girls,boys ,girls,boys ,girls,OBC Boys,Gen. Boys
1,2009-10,8047,8015,516,566,2461,2579,106,106,11130,11266,0,0
2,2010-11,6495,6693,471,488,2047,2233,52,61,9065,9475,0,0
3,2011-12,6026,6308,441,439,1978,2141,55,60,8500,8948,1076,17
4,2012-13,5826,6038,438,430,1905,2094,52,46,8221,8608,691,7
5,2013-14,5787,6058,409,434,1883,2060,36,44,8115,8596,813,11
6,2014-15,5178,5576,428,440,1798,1969,39,48,7443,8033,802,14
7,2015-16,5126,5449,392,397,1818,1979,30,41,7366,7866,864,3
8,2016-17,5151,5450,399,415,1672,1815,79,82,7301,7762,112,7